"Director.Name","Birthday","Birthplace","Highest.Rated","Lowest.Rated","title","year","tomatometer","audience_score","box_office","credits","category","category01"
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Cellar Dweller","1988",NA,27,NA,"Phillip Lemley (Character)","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","One Terrific Guy","1986",NA,NA,NA,"Todd (Character)","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Gladiator","1986",NA,NA,NA,"Jeff Benton (Character)","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Foursome","2017,2019-2017,2019",NA,NA,NA,"Unknown (Character),Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Royals","2015-2018",NA,80,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Project MC2","2016-2017",NA,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Freakish","2016-2017",NA,65,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Richie Rich","2015-2015",NA,45,NA,"Assistant Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Supah Ninjas","2011-2013",NA,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Fred: The Show","2012-2012",NA,88,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","One Tree Hill","2003-2012",NA,68,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Blue Mountain State","2010-2011",NA,86,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Smallville","2009-2011",78,70,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","What I Like About You","2002-2006",NA,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Crumbs","2006-2006",33,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Inconceivable","2005-2005",30,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Days","2004-2004",NA,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","I'm With Her","2003-2004",58,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Black Sash","2003-2003",NA,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Birds of Prey","2002-2003",52,42,NA,"Executive Producer,Director","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Cousin Skeeter","1999-2001",NA,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Hype","2000-2001",14,NA,NA,"Executive Producer","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Popular","1999-1999",60,100,NA,"Director","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Full House","1992-1992",NA,81,NA,"David Janolari (Guest Star)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Head of the Class","1986-1991",NA,NA,NA,"Eric Mardian (Character)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Mr. Belvedere","1986-1986",NA,NA,NA,"Unknown (Guest Star)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Growing Pains","1985-1985",NA,NA,NA,"Unknown (Guest Star)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Newhart","1984-1984",NA,NA,NA,"Unknown (Guest Star)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Diff'rent Strokes","1984-1984",NA,NA,NA,"Unknown (Guest Star)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Knight Rider","1983-1983",NA,80,NA,"Randy Merritt (Guest Star)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Three's Company","1983-1983",NA,95,NA,"Unknown (Guest Star)","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Facts of Life","1982-1982",NA,NA,NA,"Guest","TV Show",0
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Archie Bunker's Place","1982-1982",66,NA,NA,"Unknown (Guest Star)","TV Show",0
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","The Battle at Lake Changjin: Water Gate Bridge","2022",NA,60,NA,"Executive Producer,Producer","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","The Battle at Lake Changjin","2021",36,100,NA,"Director,Executive Producer","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","My People, My Country","2019",NA,70,2353314,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Legend of the Demon Cat","2018",NA,NA,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Legend of the Demon Cat","2017",91,43,NA,"Director,Screenwriter","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Monk Comes Down the Mountain","2015",NA,39,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Caught in the Web","2012",7,38,1067,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Sacrifice","2010",70,49,27899,"Director,Screenwriter","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Forever Enthralled","2008",NA,62,NA,"Director,Screenwriter","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Master of the Crimson Armor","2005",30,44,668171,"Director,Writer,Producer","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Together","2002",73,89,1069156,"Prof. Yu Shifeng (Character),Director,Writer,Producer","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Killing Me Softly","2002",NA,40,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Ten Minutes Older: The Trumpet","2002",86,77,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","The Emperor and the Assassin","1999",81,79,1264231,"Lu Buwei (Character),Director,Writer,Executive Producer","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Temptress Moon","1996",62,73,1084532,"Director,Writer","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Yang & Yin: Gender in Chinese Cinema","1996",NA,83,NA,"Unknown (Character)","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Farewell My Concubine","1993",91,93,332198,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Bawang Bie Ji","1993",NA,NA,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Life on a String","1991",NA,71,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Bian Zhou Bian Chang","1991",NA,NA,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","The Big Parade","1988",NA,NA,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","King of the Children","1987",NA,NA,NA,"Director","Movie",1
"Chen Kaige","Aug 12, 1952","Beijing, China","Yellow Earth (1984)","Killing Me Softly (2002)","Yellow Earth","1984",100,76,NA,"Director,Screenwriter","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Shut In","2022",55,93,NA,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Redeeming Love","2022",11,95,9210225,"Director,Screenwriter","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Are You Afraid of the Dark?","2019",NA,NA,NA,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","xXx: Return of Xander Cage","2017",45,37,44850317,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","The Disappointments Room","2016",NA,17,2411580,"Director,Screenwriter","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Standing Up","2013",56,64,NA,"Director,Screenwriter","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","I Am Number Four","2011",33,57,55092830,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Y: The Last Man","2011",NA,NA,NA,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Eagle Eye","2008",26,62,101111837,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Disturbia","2007",70,77,80050171,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Two for the Money","2005",22,48,22862049,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Taking Lives","2004",22,54,32682342,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Crazy as Hell","2002",53,56,20710,"Producer","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","The Salton Sea","2002",63,82,676698,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Mind Prey","1999",NA,NA,NA,"Director,Producer","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Mockery for Justice","1999",NA,NA,NA,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Black Cat Run","1998",NA,44,NA,"Director","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Rebound -- The Legend of Earl The Goat Manigault","1996",NA,94,NA,"Executive Producer","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Nick of Time","1995",30,47,7790129,"Executive Producer","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Drop Zone","1994",39,32,26734233,"Producer","Movie",1
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Bronx Zoo '90: Crime, Chaos, and Baseball","2024-2024",NA,NA,NA,"Executive Producer,Director","TV Show",0
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","On the Lot","2007-2007",NA,NA,NA,"Judge","TV Show",0
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Robbery Homicide Division","2002-2002",57,NA,NA,"Director","TV Show",0
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","The Shield","2002-2002",90,96,NA,"Director","TV Show",0
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Smallville","2002-2002",78,70,NA,"Director","TV Show",0
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","The Strip","1999-1999",13,NA,NA,"Director","TV Show",0
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Martial Law","1999-1999",NA,NA,NA,"Director","TV Show",0
"D.J. Caruso","Jan 17, 1965","Norwalk, Connecticut, USA","Disturbia (2007)","The Disappointments Room (2016)","Buddy Faro","1998-1998",92,NA,NA,"Director","TV Show",0
"David Hillenbrand","Not Available","Not Available","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze (2003)","Grave Secrets","2013",NA,NA,NA,"Director,Producer,Original Music","Movie",1
"David Hillenbrand","Not Available","Not Available","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze (2003)","Transylmania","2009",NA,22,NA,"Director","Movie",1
"David Hillenbrand","Not Available","Not Available","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze 2","2006",NA,29,NA,"Director","Movie",1
"David Hillenbrand","Not Available","Not Available","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze (2003)","Gamebox 1.0","2004",NA,25,NA,"Director,Writer","Movie",1
"David Hillenbrand","Not Available","Not Available","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze","2003",NA,26,NA,"Director,Producer,Original Music","Movie",1
"David Hillenbrand","Not Available","Not Available","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze (2003)","Demon Island","2002",NA,19,NA,"Director,Writer,Producer","Movie",1
"David Hillenbrand","Not Available","Not Available","National Lampoon's Dorm Daze (2003)","National Lampoon's Dorm Daze (2003)","King Cobra","1999",NA,28,NA,"Director,Producer,Writer","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Love, Weddings & Other Disasters","2020",3,24,NA,"Eddie Stone (Character),Director,Screenwriter,Producer,Original Music","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Grown Ups 2","2013",8,53,133668525,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","That's My Boy","2012",20,51,36931089,"Executive Producer","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Jack and Jill","2011",3,36,74158157,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Just Go With It","2011",19,59,103028109,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Grown Ups","2010",11,62,162001186,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","You Don't Mess With the Zohan","2008",37,45,100018837,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","I Now Pronounce You Chuck and Larry","2007",14,69,119684970,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Benchwarmers","2006",13,64,57651794,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Karroll's Christmas","2004",NA,52,NA,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","National Security","2003",11,45,35764982,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Saving Silverman","2001",18,51,19351569,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Big Daddy","1999",39,74,163479795,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Beverly Hills Ninja","1997",13,53,31235710,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Happy Gilmore","1996",62,85,38824099,"Doug Thompson (Character),Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Columbo: Butterfly in Shades of Grey","1994",NA,52,NA,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Shaggy Dog","1994",NA,NA,NA,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Brain Donors","1992",45,85,504057,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Problem Child","1990",NA,42,53470891,"Director","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Parenthood","1989",92,76,99573575,"David Brodsky (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The New Adventures of Pippi Longstocking","1988",17,68,2314019,"Mr. Settigren (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Suitors","1988",NA,NA,NA,"Policeman (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Can't Buy Me Love","1987",50,74,31563859,"David Miller (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Water","1985",NA,70,NA,"Rob Waring (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Shadow Chasers","1985",NA,NA,NA,"Edgar ""Benny"" Benedek (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Toughest Man in the World","1984",NA,33,NA,"Dick (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Howling","1981",74,60,NA,"Chris (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","A Spaceman in King Arthur's Court","1979",NA,31,NA,"Tom Trimble (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Last of the Good Guys","1978",NA,NA,NA,"Officer Johnny Lucas (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Broken Badge","1978",NA,NA,NA,"Officer Brett Loebner (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Diary of Richie Brockelman","1978",NA,NA,NA,"Richie Brockleman (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Harry and Walter Go to New York","1976",50,32,NA,"Lewis (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Norman... Is That You?","1976",40,70,NA,"Garson Hobart (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Richie Brockelman: The Missing 24 Hours","1976",NA,NA,NA,"Richard ""Richie"" Brockelman (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Day of the Locust","1975",63,75,NA,"Apprentice (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Night Moves","1975",84,71,NA,"Boy (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Smile","1975",100,70,NA,"Logan (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Death Race","1973",NA,NA,NA,"Pvt. Becker (Character)","Movie",1
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Mullets","2004-2004",27,NA,NA,"Director","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","NYPD Blue","1993-1994,1997,2003",83,93,NA,"Director","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Shasta","1999-2000",NA,NA,NA,"Director","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Love Boat: The Next Wave","1998-1998",14,NA,NA,"Director","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Burke's Law","1994-1994",43,NA,NA,"Director","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Columbo","1976,1994-1976,1994",NA,81,NA,"Sergeant Theodore `Mac' Albinsky (Guest Star),Director","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Hunter","1987-1987",NA,NA,NA,"Director","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Empire","1984-1984",NA,NA,NA,"Ben Christian (Character)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","M*A*S*H","1975,1983-1975,1983",NA,87,NA,"Pvt. Danny McShane (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Hill Street Blues","1982-1982",97,82,NA,"Captain Freedom (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","It's a Living","1981-1981",NA,NA,NA,"Lloyd Hoffmeyer (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Police Story","1978-1978",NA,NA,NA,"Officer Brett Loebner (Character)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Alice","1976-1976",NA,NA,NA,"Unknown (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Good Heavens","1976-1976",NA,NA,NA,"Unknown (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Cannon","1974-1974",NA,NA,NA,"George Peters (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Waltons","1973-1973",NA,NA,NA,"Stuart Lee Claybourne (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","Mod Squad","1973-1973",NA,NA,NA,"Chris Norton (Guest Star)","TV Show",0
"Dennis Dugan","Sep 5, 1946","Wheaton, Illinois, USA","Smile (1975)","Problem Child (1990)","The Sixth Sense","1972-1972",NA,NA,NA,"Unknown (Guest Star)","TV Show",0
"DJ Pooh","Jun 29, 1969","Los Angeles, California, USA","Friday (1995)","3 Strikes (2000)","Grow House","2017",NA,73,NA,"Director,Screenwriter","Movie",1
"DJ Pooh","Jun 29, 1969","Los Angeles, California, USA","Friday (1995)","3 Strikes (2000)","Friday After Next","2002",26,75,32983713,"Writer","Movie",1
"DJ Pooh","Jun 29, 1969","Los Angeles, California, USA","Friday (1995)","3 Strikes (2000)","The Wash","2001",8,64,10097096,"Slim (Character),Director,Writer,Producer","Movie",1
"DJ Pooh","Jun 29, 1969","Los Angeles, California, USA","Friday (1995)","3 Strikes (2000)","3 Strikes","2000",NA,67,9821335,"Trick Turner / Taxi Driver (Character),Director,Writer","Movie",1
